_2025,Name,Name (ENG - free translation) ,Date,Date,Journalist,URL Shomrim,Subject,1ST subject ,2nd subject,3rd subject,Theme 1,Theme 2,Theme 3,Themes (numeric),Story type,Impact level,Legend: impact definition,Impact description,Impact description (ENG - free translation) ,Production,Additional outlets - tier A,Additional outlets – tier A (ENG),Additional outlets - tier B,Additional outlets – tier B (ENG)
92,תחקיר: כך נשאבים סכומי עתק משכר המורים לקופות רשתות החינוך החרדי,Investigation: How Teachers’ Salaries Are Drained Into Ultra-Orthodox School Networks,2025-07-11,11-Jul-2025,Lir Spiriton,https://www.shomrim.news/hebrew/haredi-education-networks,"Economy, Finance, Inequality, Poverty
Marginalized Communities","Economy, Finance, Inequality, Poverty",Marginalized Communities,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,Judicial System & Courts,"1
4
3",Investigative,1,Media Amplification,,,,המרקר,TheMarker,,
93,"המספרים נחשפים: 600 מקרי שבץ, 2,000 חולי לב ו-60 אלף עם יתר לחץ דם רק באזור המרכז",The Numbers Revealed: Hundreds of Strokes and Thousands of Heart Patients in Central Israel,2025-07-14,14-Jul-2025,Haim Rivlin,https://www.shomrim.news/hebrew/the-numbers-behind-pfas,Health,Health,,,Water & Infrastructure,Gatekeepers/Watchdog Institutions,,"6
1",Follow up,,,,,Audio Recording,,,,
94,"""החתונה הייתה טעות חיי"": בחברה הערבית מודאגים מהעלייה בשיעור הגירושים",‘Getting Married Was the Worst Decision of My Life’: Arab Society is Worried by the Rising Divorce Rate,2025-07-15,15-Jul-2025,Fadi Amun,https://www.shomrim.news/hebrew/divorce-increase-arab-society,Marginalized Communities,Marginalized Communities,,,Arab Society,Extreme Social Phenomena,,"7
8",Feature,,,,,,,,,
95,"אחרי שנים – צעד בדרך להגבלת השימוש ב""כימיקלי הנצח"" המסוכנים","After Years, a First Step Toward Restricting 'Forever Chemicals'",2025-07-16,16-Jul-2025,Haim Rivlin,https://www.shomrim.news/hebrew/pfas-follow,Health,Health,,,Water & Infrastructure,,,6,Follow up,,,,,,,,,
96,"ביו""ש איבדו שליטה על נוער הגבעות: ""אין להם שום אוטוריטה. לא רבנית ולא חינוכית""",How the Settlement Movement Lost Control Over the Hilltop Youth: ‘They Respect No Authority – Not Rabbinical and Not Educational’,2025-07-17,17-Jul-2025,Chen Shalita,https://www.shomrim.news/hebrew/hilltop-youth-out-of-control,"Democracy & Society
Democratic Institutions and the Rule of Law
Human Rights & Democratic Values",Democracy & Society,Democratic Institutions and the Rule of Law,Human Rights & Democratic Values,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,Military & Reserve Forces,"1
4
2",Feature,,,,,,המקום הכי חם בגהנום,The Hottest Place in Hell,,
97,ישראל סוערת סביב משבר חוק הגיוס אבל דווקא הציבור החרדי הרחב אדיש לחלוטין,"While Ultra-Orthodox Draft Crisis Grips Israel, The Ultra-Orthodox Street Remains Indifferent",2025-07-20,20-Jul-2025,Lir Spiriton,https://www.shomrim.news/hebrew/the-general-ultra-orthodox-public-is-completely-indifferent,"Democracy & Society
Marginalized Communities
October 7 War",Democracy & Society,Marginalized Communities,October 7 War,Judicial System & Courts,Democratic Values/Institutional Norms,Military & Reserve Forces,"3
4
2",Feature,,,,,,,,,
98,"מנהלי בתי חולים עוצרים את מתווה המתמחים חד צדדית: ""פגיעה מסכנת חיים""","Hospital Directors Halt Residency Reform, Warning of 'Life-Threatening Harm'",2025-07-21,21-Jul-2025,Haim Rivlin,https://www.shomrim.news/hebrew/hospital-administrators-halt-intern-outline,"Health
Economy, Finance, Inequality, Poverty",Health,"Economy, Finance, Inequality, Poverty",,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Follow up,,,,,,,,,
99,"התרומות לקהלת נחתכו בחצי: קיצוצים דרמטיים בשכר, במחקר ובתמיכה בארגונים אחרים","Funding Crisis Forces Kohelet to Cut Salaries, Research, and Support for Other Groups",2025-07-21,21-Jul-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/donations-to-kohelet-were-cut-in-half,Democracy & Society,Democracy & Society,,,Democratic Values/Institutional Norms,Judicial System & Courts,Gatekeepers/Watchdog Institutions,"4
3
1",Follow up,,,,,Translation,,,,
100,מלחמה? הפיכה משפטית? הנשיא הרצוג מקדם מוזיאון על שם אביו,War? Judicial Overhaul? Israel’s President Pushes a Museum Named After His Father,2025-07-25,25-Jul-2025,Uri Blau,https://www.shomrim.news/hebrew/president-herzog-promotes-museum-named-after-his-father,"Democracy & Society
Democratic Institutions and the Rule of Law",Democracy & Society,Democratic Institutions and the Rule of Law,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Investigative,1,Media Amplification,,,,המרקר,TheMarker,,
101,הבטחות לעשרות אלפי דולרים בחודש ואוטובוס מגבול ירדן: כך מבריחים נשים למטרות זנות,How Women are Smuggled to Israel for Prostitution,2025-07-27,27-Jul-2025,Milan Cerny,https://www.shomrim.news/hebrew/this-is-how-women-are-smuggled-for-prostitution,"Democracy & Society
Marginalized Communities",Democracy & Society,Marginalized Communities,,Extreme Social Phenomena,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,"8
1
4",Short-Term Investigative,1,Media Amplification,,,"Audio Recording, Translation",N12,N12,,
102,ישראל התחילה ללחוץ על הארגונים הבינלאומיים להכניס סיוע לרצועה עוד לפני שהתקבלה החלטת הקבינט בנושא,Israel Began Pressuring International Organizations to Deliver Aid Before Cabinet Approval,2025-07-28,28-Jul-2025,Uri Blau,https://www.shomrim.news/hebrew/humanitarian-aid,October 7 War,October 7 War,,,Gatekeepers/Watchdog Institutions,Military & Reserve Forces,Democratic Values/Institutional Norms,"1
2
4",Short-Term Investigative,,,,,,,,,
103,"משרד החינוך יממן ועידה של ערוץ 14: 250 אלף שקל לחיזוק ""הזהות היהודית""","Education Ministry to Fund Channel 14 Conference: $70,000 for Promoting 'Jewish Identity'",2025-07-30,30-Jul-2025,Uri Blau,https://www.shomrim.news/hebrew/the-ministry-of-education-will-finance-the-channel-14-conference,"Education
Democracy & Society",Education,Democracy & Society,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,Judicial System & Courts,"1
4
3",Short-Term Investigative,"2, 1","Media Amplification, Stakeholder Reaction","ב-21.8 הוגשה בקשה דחופה לצו ביניים בבגץ, בידי מכון זולת, בדרישה לעצור התקשרות של משרד החינוך עם ערוץ 14, בהיקף של כרבע מיליון שקלים, זאת, לצורך מימון מה שמכונה ""ועידת הזהות היהודית""","Aug 21, the Zulat Institute submitted an urgent request for an interim injunction to the High Court of Justice, demanding that the Ministry of Education halt its contract with Channel 14 — a deal worth roughly a quarter of a million shekels — intended to fund what is referred to as the ‘Jewish Identity Conference'",,וואלה,Walla,מתחת לראדר,Under the Radar
104,הלוביסט החדש של קטאר בוושינגטון: שר החינוך ובכיר בממשלי רייגן ובוש האב,Qatar’s New Lobbyist in Washington: A Former Education Secretary,2025-07-30,30-Jul-2025,"Haim Rivlin
Uri Blau",https://www.shomrim.news/hebrew/qatars-new-lobbyist-in-washington,Democracy & Society,Democracy & Society,,,Democratic Values/Institutional Norms,Gatekeepers/Watchdog Institutions,,"4
1",Short-Term Investigative,,,,,,,,,
105,"רופאים בעזה אחרי השינוי במדיניות הסיוע: ""התושבים עדיין נאבקים למצוא מזון. המצב קטסטרופה""","Despite Change in Israeli Aid Policy, Doctors in Gaza Say Humanitarian Situation Still ‘Catastrophic’",2025-07-31,31-Jul-2025,Daniel Dolev,https://www.shomrim.news/hebrew/residents-are-still-struggling-to-find-food,"October 7 War
Human Rights & Democratic Values",October 7 War,Human Rights & Democratic Values,,Democratic Values/Institutional Norms,Military & Reserve Forces,Water & Infrastructure,"4
2
6",Feature w. Investigative Elements,,,,,"Audio Recording, Translation",,,,
106,"חשיפה: רק לפני חודש שכר משרד הכלכלה פירמה אמריקאית לטפל בהסכם המכס עם ארה""ב",Exposed: Economy Ministry Hired a U.S. Firm to Handle Tariff Talks With Washington,2025-08-04,4-Aug-2025,Uri Blau,https://www.shomrim.news/hebrew/trump-tariffs,"Economy, Finance, Inequality, Poverty","Economy, Finance, Inequality, Poverty",,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,1,Media Amplification,,,,כלכליסט,Calcalist,,
107,"""השאיפה היא להיוולד מחדש למרות שהלכו 9 שנים"": ביקור במרפאת גמילה מאופיואידים",Inside an Opioid Rehabilitation Clinic,2025-08-05,5-Aug-2025,Daniel Dolev,https://www.shomrim.news/hebrew/visiting-an-opioid-rehab-clinic,Health,Health,,,Gatekeepers/Watchdog Institutions,Water & Infrastructure,,"1
6",Follow up,,,,,,,,,
108,"הטבות על הנייר: ההבטחות לקרקעות למילואימניקים הן ""ישראבלוף""",Benefits on Paper Only: Promises to Reservists Ring Hollow,2025-08-08,8-Aug-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/paper-benefits,"October 7 War
Democracy & Society",October 7 War,Democracy & Society,,Gatekeepers/Watchdog Institutions,Military & Reserve Forces,Democratic Values/Institutional Norms,"1
2
4",Short-Term Investigative,1,Media Amplification,,,,מאקו,Mako,,
109,אמברגו הוועדים: איגודי עובדים בנמלי אירופה מנעו משלוחים של ציוד צבאי לישראל,Dockworkers across Europe Work Together to Halt Israeli Arms Shipments,2025-08-08,8-Aug-2025,Milan Cerny,https://www.shomrim.news/hebrew/union-embargo-europe,October 7 War,October 7 War,,,Military & Reserve Forces,Democratic Values / Institutional Norms,,"2
4",Investigative,1,Media Amplification,"הייתה הכתבה הנקראת ביותר במגזין הסופ""ש של N12
ערוץ הכנסת ברוסית עשו פולו, וראיינו את מילאן",It was the most-read article in N12’s weekend magazine. The Knesset Channel’s Russian-language division followed up on it and interviewed Milan.,Translation,"N12, ערוץ הכנסת","N12, Channel Knesset",,
110,חשיפה: המהלך להכתרת מושל חדש לעזה ביום שאחרי המלחמה,Exposé: The Palestinian Tycoon Being Touted as Gaza’s Post-War Governor,2025-08-12,12-Aug-2025,Uri Blau,https://www.shomrim.news/hebrew/gaza-new-governor,October 7 War,October 7 War,,,Democratic Values / Institutional Norms,Gatekeepers/Watchdog Institutions,,"4
1",Investigative,1,Media Amplification,,,Translation,"Ynet, ידיעות אחרונות","Ynet, Yedioth Ahronoth","Ynet ENG, Turkish Daily, Corriere della Sera (IT), La Repubblica (IT), The New Arab (UK), i24News, ערוץ 7, Al-Monitor, Annahar (Lebanon), Sky News Arabic, כאן (ערבית), Erem News, arabi21, BBC Arabic, Kurdistan24","Ynet ENG, Turkish Daily, Corriere della Sera (IT), La Repubblica (IT), The New Arab (UK), i24News, Channel 7 (Arutz Sheva), Al-Monitor, Annahar (Lebanon), Sky News Arabic, KAN Arabic, Erem News, arabi21, BBC Arabic, Kurdistan24"
111,חשיפה: ארגונים בעולם מתארגנים לקראת הליכים משפטיים נגד קרן הסיוע לעזה,Exposed: International Groups Prepare Legal Action Against the Gaza Aid Fund,2025-08-14,14-Aug-2025,Milan Cerny,https://www.shomrim.news/hebrew/ghf-under-threat,October 7 War,October 7 War,,,Democratic Values/Institutional Norms,Gatekeepers/Watchdog Institutions,,"4
1",Short-Term Investigative,,,,,Translation,,,,
112,התפרצות החצבת: בקהילות החרדיות לא התחסנו כי לא היה איפה,Measles Outbreak: Ultra-Orthodox Communities Went Unvaccinated Due to Lack of Access,2025-08-18,18-Aug-2025,Lir Spiriton,https://www.shomrim.news/hebrew/measles-outbreak,"Health
Marginalized Communities",Health,Marginalized Communities,,Gatekeepers/Watchdog Institutions,Water & Infrastructure,,"1
6",Short-Term Investigative,,,,,,,,,
113,"חשיפה: האו""ם פרסם מכרז דחוף לאספקת עשרות אלפי קרוואנים לעזה",Exclusive: UN Publishes Tender for Tens of Thousands of Prefabricated Temporary Units for Gaza,2025-08-20,20-Aug-2025,"Uri Blau, Milan Cerny",https://www.shomrim.news/hebrew/undp-gaza-tender-,October 7 War,October 7 War,,,Gatekeepers/Watchdog Institutions,Water & Infrastructure,,"1
6",Short-Term Investigative,,,,,Translation,,,,
114,"""יש שמועה שיש מל""ל"": כך הפך המטה לביטחון לאומי לנוכח-נפקד שאף אחד לא סופר",The Disappearance of Israel’s National Security Council,2025-08-21,21-Aug-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/national-security-council-weakness,Democratic Institutions and the Rule of Law,Democratic Institutions and the Rule of Law,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Feature,1,Media Amplification,,,"Translation, Audio Recording",N12,N12,,
115,תעלומה של מאות מיליונים: מי הקפיא את חשבונות הבנק של לאה דנקנר?,A Mystery Involving Hundreds of Millions: Who Froze Leah Dankner’s Bank Accounts?,2025-08-24,24-Aug-2025,Uri Blau,https://www.shomrim.news/hebrew/mystery-worth-millions,Democracy & Society,Democracy & Society,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Follow up,"1, 2","Media Amplification, Stakeholder Reaction",,,,כלכליסט,Calcalist,,
116,"אקסטות במסיבות של בני 14, שורות בטיול השנתי","Ecstasy at Parties for 14-Year-Olds, Cocaine Lines on School Trips",2025-08-24,24-Aug-2025,Daniel Dolev,https://www.shomrim.news/hebrew/drugs-high-schools,"Health
Education",Health,Education,,Gatekeepers/Watchdog Institutions,Extreme Social Phenomena,Democratic Values/Institutional Norms,"1
8
4",Investigative,1,Media Amplification,התפרסם במוסף 7 ימים של ידיעות אחרונות,"It was published in 7 Days, the weekend magazine of ""Yedioth Ahronoth""",Audio Recording,"ידיעות אחרונות, Ynet","Yedioth Ahronoth, Ynet",מתחת לראדר,Under the Radar
117,עולם שלישי זה כאן: כך נראים קווי חשמל בישראל 2025,What Israel’s Power Lines Look Like in 2025,2025-08-26,26-Aug-2025,Fadi Amun,https://www.shomrim.news/heb-gallery/third-world-country,"Marginalized Communities
Economy, Finance, Inequality, Poverty",Marginalized Communities,"Economy, Finance, Inequality, Poverty",,Water & Infrastructure,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,"6
1
4",Feature,,,,,,,,,
118,"שיימינג, נאצות ושחיקה: יותר מורים עוזבים, פחות מצטרפים, האיכות צונחת - וזה לא רק בגלל השכר","Shaming, Abuse, and Burnout: More Teachers Quit, Fewer Join, and Quality Plummets",2025-08-28,28-Aug-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/teachers-leaving,Education,Education,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,1,Media Amplification,,,,מאקו,Mako,,
119,מה עובדת סוציאלית אמורה לעשות עם 100 תיקים?,"Crisis in Israel’s Social Services: Overloaded, Understaffed, and Burning Out",2025-09-02,2-Sep-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/social-workers-crisis,"Democracy & Society
October 7 War
Welfare",Democracy & Society,October 7 War,Welfare,Gatekeepers/Watchdog Institutions,Extreme Social Phenomena,,"1
8",Explanatory,,,,,Translation,,,,
120,"לא ""בעל מכה"" - רק ""מתחים בבית"": פסקי הדין המרתיחים של הדיינים החדשים",Not 'An Abusive Husband' but 'Domestic Tensions': The Outrageous Rulings of New Rabbinical Judges,2025-09-04,4-Sep-2025,Haim Rivlin,https://www.shomrim.news/hebrew/the-rabbinical-courts,Human Rights & Democratic Values,Human Rights & Democratic Values,,,Judicial System & Courts,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,"3
1
4",Investigative,1,Media Amplification,,,Audio Recording,N12,N12,,
121,אודי כגן צודק: ישראל עומדת בפני גל פוסט טראומה חסר תקדים בהיקפו,Israel Is Facing an Unprecedented Wave of PTSD,2025-09-05,5-Sep-2025,Haim Rivlin,https://www.shomrim.news/hebrew/ptsd-wave,"October 7 War, Health","October 7 War, Health",,,Extreme Social Phenomena,Military & Reserve Forces,Democratic Values/Institutional Norms,"8
2
4",Short-Term Investigative,1,Media Amplification,,,Audio Recording,מאקו,Mako,,
122,"מפעיל הסוכנים, הנינג'ות ומנהלת המתנ""ס: אלו הישראלים שחשודים בחטיפת ילדים בגרמניה","Agent Handlers, 'Ninjas,' and a Community Center Director: The Israelis Suspected of Child Abduction in Germany",2025-09-07,7-Sep-2025,"Daniel Dolev, Uri Blau",https://www.shomrim.news/hebrew/kidnapping-germany,Democracy & Society,Democracy & Society,,,Democratic Values/Institutional Norms,,,4,Investigative,1,Media Amplification,,,,Der Spiegel (Germany),Der Spiegel (Germany),,
123,ישראל מנסה למכור לעולם שבעזה אוכלים עכשיו פיצות ופוקצ'ות - וזה לא עובד,Israel Is Trying to Convince the World There Is No Famine in Gaza - It’s Not Working,2025-09-09,9-Sep-2025,Milan Cerny,https://www.shomrim.news/hebrew/influence-campaign-gaza,October 7 War,October 7 War,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,,,,,,,,,
124,"ההסברה במשבר? דירת השגריר באו""ם דני דנון התחדשה בריהוט ב-70 אלף דולרים","Public Diplomacy in Crisis? Israel’s UN Ambassador Renovated His Apartment for $70,000",2025-09-10,10-Sep-2025,Uri Blau,https://www.shomrim.news/hebrew/danon-apartment,Democracy & Society,Democracy & Society,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,,,,,,,,,
125,"מסלול ירוק לנפגעי פוסט טראומה? החולים עדיין מחכים, המחלה שלהם לא",A Fast Track for PTSD Victims? Patients Are Still Waiting,2025-09-11,11-Sep-2025,Haim Rivlin,https://www.shomrim.news/hebrew/ptsd-with-no-green-light,"Health
October 7 War",Health,October 7 War,,Gatekeepers/Watchdog Institutions,Military & Reserve Forces,,"1
2",Follow up,,,,,,,,,
126,"""המהפכה"" של מזרח ירושלים - שרק יהודים הרוויחו ממנה","Seven Years After a Government Land-Registration Drive in East Jerusalem, Palestinians Were Left Behind",2025-09-15,15-Sep-2025,Daniel Dolev,https://www.shomrim.news/hebrew/east-jerusalem-lands,"Marginalized Communities
Human Rights & Democratic Values",Marginalized Communities,Human Rights & Democratic Values,,Democratic Values/Institutional Norms,Land/Planning,,"4
5",Investigative,,,,,,,,,
127,חשיפה: המולטי-מיליונרית הגרמניה שנאשמת בחטיפה נפגשה עם שופט ישראלי,Exposed: The German Multimillionaire Accused of Kidnapping Met With an Israeli Judge,2025-09-16,16-Sep-2025,"Daniel Dolev, Uri Blau",https://www.shomrim.news/hebrew/kidnapping-germany-follow,Democracy & Society,Democracy & Society,,,Gatekeepers/Watchdog Institutions,Military & Reserve Forces,,"1
2",Follow up,,,,,,,,,
128,"""התחושה היא שהשרים פועלים נגדנו"": עדויות מתוך משרדי הממשלה הקורסים",We Feel Like the Ministers Are Working Against Us',2025-09-18,18-Sep-2025,Haim Rivlin,https://www.shomrim.news/hebrew/public-service-collapse,Democratic Institutions and the Rule of Law,Democratic Institutions and the Rule of Law,,,Gatekeepers/Watchdog Institutions,Water & Infrastructure,,"1
6",Feature,,,,,"Translation, Audio Recording",,,,
129,המילה שראשי גוש השינוי הכי חוששים ממנה לקראת הבחירות הבאות,When Secularism Became Taboo,2025-09-21,21-Sep-2025,Chen Shalita,https://www.shomrim.news/hebrew/the-unspoken-word,Democracy & Society,Democracy & Society,,,Democratic Values/Institutional Norms,,,4,Feature,,,,,"Translation, Audio Recording",,,TimeOut,TimeOut
130,"הפתרון של צה""ל למחסור במילואימניקים: שירות שבוע-שבוע בעלויות של מיליארדים - ""אין מה לעשות, זה שוק של חיילים""","The IDF’s Answer to the Reservist Shortage: Week-On, Week-Off Service at a Cost of Billions",2025-09-25,25-Sep-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/idf-employment-market-follow,October 7 War,October 7 War,,,Military & Reserve Forces,Gatekeepers/Watchdog Institutions,,"2
1",Short-Term Investigative,,,,,,,,,
131,"סמים במסיבות, מאבקים מול המדינה ואימה יומיומית: שורדי הנובה לא מצליחים לחזור לחיים","Drugs at Parties, Battles With the State, and Daily Fear: Nova Festival Survivors Struggle to Rebuild Their Lives",2025-09-25,25-Sep-2025,Yael Shani,https://www.shomrim.news/hebrew/nova-survivors-struggling,"October 7 War
Health",October 7 War,Health,,Extreme Social Phenomena,Gatekeepers/Watchdog Institutions,Water & Infrastructure,"8
1
6",Feature,1,Media Amplification,,,Audio Recording,N12,N12,,
132,נערכים למשט: בישראל רוצים להחרים את הספינות בלי לשלם הון,Another Incoming Flotilla: Israel Seeks to Confiscate Vessels Without Paying a Fortune,2025-09-26,26-Sep-2025,Uri Blau,https://www.shomrim.news/hebrew/mashat-gaza,October 7 War,October 7 War,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,,,,,Translation,,,,
133,"השמנה, מחלות לב ונזקים מוחיים: לישראלים חסר יוד בתזונה ובמשרד הבריאות גוררים רגליים","Obesity, Heart Disease, and Brain Damage: Iodine Deficiency in Israeli Diets",2025-09-28,28-Sep-2025,Haim Rivlin,https://www.shomrim.news/hebrew/iodine-deficiency,Health,Health,,,Gatekeepers/Watchdog Institutions,Water & Infrastructure,,"1
6",Investigative,,,,,,,,,
134,"אוים, נעצר, נכלא ושוחרר בתנאי שלא יעסוק בעזה: כך יעשה לאיש שאבו מאזן סימן","Palestinian Businessman Floated as Postwar Gaza Governor Detained by the Palestinian Authority, Then Released on Condition He Stay Away from Gaza",2025-09-29,29-Sep-2025,Uri Blau,https://www.shomrim.news/hebrew/samir-hulileh-follow,October 7 War,October 7 War,,,Democratic Values/Institutional Norms,,,4,Short-Term Investigative,,,,,,,,,
135,שתי אחיות ל-30 מאושפזים - ומי שיכול משלם 700 שקל ללילה,Two Nurses for 30 Patients - and Those Who Can Pay $190 a Night,2025-10-05,5-Oct-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/nurses-crisis,Health,Health,,,Gatekeepers/Watchdog Institutions,Water & Infrastructure,,"1
6",Investigative,,,,,Audio Recording,,,,
136,"""חיסון החצבת הוא פשע נגד האנושות"": כך נראית התעמולה האנטי־חיסונית בציבור החרדי",The Measles Vaccine Is a Crime Against Humanity': Anti-Vaccine Propaganda in Ultra-Orthodox Communities,2025-10-05,5-Oct-2025,Lir Spiriton,https://www.shomrim.news/hebrew/measles-anti-vaccination,"Health
Marginalized Communities",Health,Marginalized Communities,,Gatekeepers/Watchdog Institutions,Water & Infrastructure,,"1
6",Short-Term Investigative,1,Media Amplification,,,,כלכליסט,Calcalist,,
137,שלושה ימים אזוקה למיטה: כך מזניחים אסירות במצוקה נפשית,Chained to a Bed for Three Days: The Neglect of Mentally Ill Prisoners,2025-10-05,5-Oct-2025,Roni Singer,https://www.shomrim.news/hebrew/neve-tirza-mental,"Marginalized Communities
Human Rights & Democratic Values",Marginalized Communities,Human Rights & Democratic Values,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Investigative,,,,,Translation,,,,
138,"תרצו גם תמונה? צ'אט GPT, גרוק ובוטים אחרים חושפים דליפות מידע סודיות לכל מי שרק מבקש",Want a Picture Too? AI Bots Are Leaking Classified Information on Demand,2025-10-16,16-Oct-2025,Milan Cerny,https://www.shomrim.news/hebrew/chatbots-and-data-leaks,October 7 War,October 7 War,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,,,,,,,,,
139,"אובדנות, תופעות לוואי חמורות והסתרת מידע: מה אנחנו יודעים על התרופות שאנחנו לוקחים?","Suicide, Severe Side Effects, and Hidden Data: What Do We Really Know About the Drugs We Take?",2025-10-16,16-Oct-2025,Yael Shani,https://www.shomrim.news/hebrew/fine-print-secrets,Health,Health,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,Water & Infrastructure,"1
4
6",Investigative,,,,,,,,,
140,הארגון הטורקי שפועל בעזה קשור לחמאס ופעילותו נאסרה בישראל כבר ב-2008,"IHH, a Turkish Organization Now Operatingin Gaza, Was Banned in Israel as Early as 2008 for Its Ties to Hamas",2025-10-20,20-Oct-2025,"Uri Blau, Milan Cerny",https://www.shomrim.news/hebrew/gaza-turkey-ihh,October 7 War,October 7 War,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,1,Media Amplification,,,,רדיו רקע (כאן),Reka Radio (KAN),,
141,"בין משתתפי כנס כלכלי חשאי באוסטריה: שר האוצר הטורקי, בני משפחת המלוכה מבחריין ואבנר נתניהו","At a Secret Economic Conference in Austria: Turkey’s Finance Minister, Bahraini Royals, and Avner Netanyahu",2025-10-21,21-Oct-2025,Uri Blau,https://www.shomrim.news/hebrew/avner-in-austria,Democracy & Society,Democracy & Society,,,Gatekeepers/Watchdog Institutions,Democratic Values/Institutional Norms,,"1
4",Short-Term Investigative,1,Media Amplification,,,,,,Profil (AS),Profil (AS)
142,כך הוקרסה תוכנית הדגל לעצירת האלימות בחברה הערבית מאז מונה בן גביר לשר לביטחון לאומי,How Ben-Gvir Derailed Israel’s Flagship Program Combating Violence in the Arab-Sector,2025-10-23,23-Oct-2025,Shuki Sadeh,https://www.shomrim.news/hebrew/stop-the-violence-plan-collapse,"Marginalized Communities
Democratic Institutions and the Rule of Law",Marginalized Communities,Democratic Institutions and the Rule of Law,,Arab Society,Gatekeepers/Watchdog Institutions,,"7
1",Investigative,,,,,Translation,,,,
143,"רופאים בלי רישיון, בניגוד לחוק: כך הפכו שירותי הבריאות במזרח ירושלים למכונת רווח על חשבון המטופלים",Unlicensed Physicians: How Profit Became the Bottom Line for Healthcare in East Jerusalem – At Patients’ Expense,2025-10-26,26-Oct-2025,Daniel Dolev,https://www.shomrim.news/hebrew/east-jerusalem-health-crisis,"Health
Marginalized Communities",Health,Marginalized Communities,,Gatekeepers/Watchdog Institutions,Water & Infrastructure,,"1
6",Investigative,1,Media Amplification,,,Translation,מאקו,Mako,,
144,ביצים מזוהמות בחומר רעיל נמכרו ברשתות השיווק – והציבור הוזהר באיחור של 10 ימים,Contaminated Eggs Sold Nationwide - Public Warned Days Too Late,2025-10-27,27-Oct-2025,Haim Rivlin,https://www.shomrim.news/hebrew/eggs-late-warning,Health,Health,,,Gatekeepers/Watchdog Institutions,Water & Infrastructure,,"1
6",Short-Term Investigative,1,Media Amplification,,,,גלצ,Galatz (Army Radio),,
145,"להשכיח את השבעה באוקטובר, להאשים את קפלן: כך הימין מתכנן לנצח את הבחירות",Bury October 7 and Blame the Kaplan Protestors: How the Israeli Right Plans to Win the Next Election,2025-10-30,30-Oct-2025,Chen Shalita,https://www.shomrim.news/hebrew/this-is-how-the-right-plans-to-win,Democracy & Society,Democracy & Society,,,Democratic Values/Institutional Norms,Extreme Social Phenomena,,"4
8",Feature,,,,,"Translation, Audio Recording",,,,
146,"משטרת דובאי, ספינות ביוון ובכירים בישראל: דליפה חסרת תקדים חושפת את פעילות מערך הסייבר של איראן","Dubai Police, Ships in Greece, and Israeli Officials: A Leak Exposes Iran’s Cyber Operations",2025-11-04,4-Nov-2025,Milan Cerny,https://www.shomrim.news/hebrew/iran-got-hacked,Democracy & Society,Democracy & Society,,,Democratic Values/Institutional Norms,Democratic Values/Institutional Norms,,"4
4",Investigative,1,Media Amplification,,,,כלכליסט,Calcalist,,
